(17.5, 7.5, 17.5)
(35.0, 15.0, 35.0)
(52.5, 22.5, 52.5)
(70.0, 30.0, 70.0)
(87.5, 37.5, 87.5)
(98.0, 45.0, 98.0)
(80.5, 52.5, 80.5)
(63.0, 60.0, 63.0)
(45.5, 67.5, 45.5)
(28.0, 75.0, 28.0)
(10.5, 82.5, 10.5)
(0.0, 87.0, 0.0)
(0.0, 87.0, 0.0)
(7.0, 90.0, 7.0)
(24.5, 97.5, 24.5)
(42.0, 96.0, 42.0)
(59.5, 88.5, 59.5)
(77.0, 81.0, 77.0)
(94.5, 73.5, 94.5)
(91.0, 66.0, 91.0)
(73.5, 58.5, 73.5)
(56.0, 51.0, 56.0)
(38.5, 43.5, 38.5)
(21.0, 36.0, 21.0)
(3.5, 28.5, 3.5)
(0.0, 27.0, 0.0)
(0.0, 27.0, 0.0)
(14.0, 21.0, 14.0)
(31.5, 13.5, 31.5)
(49.0, 6.0, 49.0)
(63.0, 0.0, 63.0)
(66.5, 1.5, 66.5)
(84.0, 9.0, 84.0)
(101.5, 16.5, 101.5)
(84.0, 24.0, 84.0)
(66.5, 31.5, 66.5)
(49.0, 39.0, 49.0)
(31.5, 46.5, 31.5)
(14.0, 54.0, 14.0)
(0.0, 60.0, 0.0)
(0.0, 60.0, 0.0)
(3.5, 61.5, 3.5)
(21.0, 69.0, 21.0)
(38.5, 76.5, 38.5)
(56.0, 84.0, 56.0)
(73.5, 91.5, 73.5)
(91.0, 99.0, 91.0)
(94.5, 94.5, 94.5)
(77.0, 87.0, 77.0)
(59.5, 79.5, 59.5)
(42.0, 72.0, 42.0)
(24.5, 64.5, 24.5)
(7.0, 57.0, 7.0)
(0.0, 54.0, 0.0)
(0.0, 54.0, 0.0)
(10.5, 49.5, 10.5)
(28.0, 42.0, 28.0)
(45.5, 34.5, 45.5)
(63.0, 27.0, 63.0)
(80.5, 19.5, 80.5)
(98.0, 12.0, 98.0)
(87.5, 4.5, 87.5)
(77.0, 0.0, 77.0)
(70.0, 3.0, 70.0)
(52.5, 10.5, 52.5)
(35.0, 18.0, 35.0)
(17.5, 25.5, 17.5)
(0.0, 33.0, 0.0)
(0.0, 33.0, 0.0)
(0.0, 33.0, 0.0)
(17.5, 40.5, 17.5)
(35.0, 48.0, 35.0)
(52.5, 55.5, 52.5)
(70.0, 63.0, 70.0)
(87.5, 70.5, 87.5)
(98.0, 78.0, 98.0)
(80.5, 85.5, 80.5)
(63.0, 93.0, 63.0)
(45.5, 100.5, 45.5)
(28.0, 93.0, 28.0)
(10.5, 85.5, 10.5)
(0.0, 81.0, 0.0)
(0.0, 81.0, 0.0)
(7.0, 78.0, 7.0)
(24.5, 70.5, 24.5)
(42.0, 63.0, 42.0)
(59.5, 55.5, 59.5)
(77.0, 48.0, 77.0)
(94.5, 40.5, 94.5)
(91.0, 33.0, 91.0)
(73.5, 25.5, 73.5)
(56.0, 18.0, 56.0)
(38.5, 10.5, 38.5)
(21.0, 3.0, 21.0)
(14.0, 0.0, 14.0)
(3.5, 4.5, 3.5)
(0.0, 6.0, 0.0)
(0.0, 6.0, 0.0)
(14.0, 12.0, 14.0)
(31.5, 19.5, 31.5)
(49.0, 27.0, 49.0)
(66.5, 34.5, 66.5)
(84.0, 42.0, 84.0)
(101.5, 49.5, 101.5)
(84.0, 57.0, 84.0)
(66.5, 64.5, 66.5)
(49.0, 72.0, 49.0)
(31.5, 79.5, 31.5)
(14.0, 87.0, 14.0)
(0.0, 93.0, 0.0)
(0.0, 93.0, 0.0)
(3.5, 94.5, 3.5)
(21.0, 99.0, 21.0)
(38.5, 91.5, 38.5)
(56.0, 84.0, 56.0)
(73.5, 76.5, 73.5)
(91.0, 69.0, 91.0)
(94.5, 61.5, 94.5)
(77.0, 54.0, 77.0)
